Terme anglais;Terme français;Variant anglais;Variant français;Definition anglaise;Définition française;Note anglaise;Note française;Terme lié
signal processing;traitement du signal;;traitement des signaux;An electrical engineering subfield that focuses on analyzing, modifying and synthesizing signals, such as sound, images, potential fields, seismic signals, altimetry processing, and scientific measurements. (Wikipedia);Discipline qui développe et étudie les techniques de traitement, d'analyse et d'interprétation des signaux. (Wikipédia);;;
signified;signifié;;;[...] signifier: the signifier (Fr. signifiant) is the expressive, externalized component or aspect of a linguistic sign, as opposed to the signified (Fr. signifié), which is the meaning or content of the sign. (Swiggers, Pierre. \Linguistic sign\. 1. Halbband: Ein internationales Handbuch zur Flexion und Wortbildung, edited by Geert Booij, Christian Lehmann, Joachim Mugdan, Wolfgang Kesselheim and Stavros Skopeteas, Berlin • New York: De Gruyter Mouton, 2000, pp. 210-224. https://doi.org/10.1515/9783110111286.1.4.210);;;;
signifier;signifiant;;;[...] the signifier (Fr. signifiant) is the expressive, externalized component or aspect of a linguistic sign, as opposed to the signified (Fr. signifié) [...] The signifier can be vocal (phonic) or graphical. In Saussure’s terms the signifier is defined as the acoustic image which the participants in a semiotic situation have in mind, through its association with a stretch of phonic substance, mainly insofar as this coincides with a word.. (Swiggers, Pierre. \Linguistic sign\. 1. Halbband: Ein internationales Handbuch zur Flexion und Wortbildung, edited by Geert Booij, Christian Lehmann, Joachim Mugdan, Wolfgang Kesselheim and Stavros Skopeteas, Berlin • New York: De Gruyter Mouton, 2000, pp. 210-224. https://doi.org/10.1515/9783110111286.1.4.210);;;;
similarity measure;mesure de similarité;"similarity metric;measure of similarity;similarity function";;;;;;
simple recurrent neural network;simple réseau de neurones récurrents;simple RNN;;;;;;
simple sentence;phrase simple;;;;;;;
simplification;simplification;;;;;;;
singular;singulier;;;;;;;
slowraker;slowraker;;;An R implementation of RAKE for keyword extraction. (Loterre);Implementation R de RAKE pour l'extraction de mots-clés. (Loterre);;;
small sentence;phrasule;;;;;;;
sociolinguistic behaviour;comportement sociolinguistique;;;;;;;
sociolinguistic variation;variation sociolinguistique;;;;;;;
sociolinguistics;sociolinguistique;;;The descriptive study of the effect of any or all aspects of society, including cultural norms, expectations, and context, on language and the ways it is used. (Wikipedia);Branche de la linguistique qui étudie la variation linguistique en fonction du contexte socioculturel. (Office québécois de la langue française);;;
soft computing;calcul souple;;;;;;;
softmax function;fonction softmax;;;An activation function in the final layer of a neural network that helps quantify the probability of proximity between each word in a corpus and the input word. (Based on Softmax Function Summary, on medium.com, 2022);;;;
softmax layer;couche softmax;;;The layer in a neural network architecture where the softmax function is applied.;;;;
sonorant consonant;consonne sonante;sonorant;sonante;;;;;
sonority;sonorité;;;;;;;
sound symbolism;symbolisme phonique;phonosemantics;"symbolisme phonosémantique;phonosémantisme9";;;;;
source language;langue source;;;;;;;
SpaCy;SpaCy;;;;;;;
spacyr;spacyr;;;;;;;
span representation;représentation d'empan lexical;;;A vector representation of a contiguous set of tokens in a given text. (Based on Gandhi et al., Improving Span Representation for Domain-adapted Coreference Resolution, 2021);;;;
sparsity;parcimonie;;sparsité;;;;;
spatial preposition;préposition spatiale;;;;;;;
speaker attitude;attitude du locuteur;;;;;;;
Spearman’s rank correlation;corrélation de Spearman;"Spearman correlation coefficient;Spearman rank correlation coefficient;Spearman rank-order correlation;Spearman coefficient;Spearman's rank correlation coefficient";"corrélation de rang de Spearman;coefficient de corrélation de Spearman;coefficient de Spearman;rho de Spearman;ρ de Spearman";Nonparametric measure of rank correlation. (Wikidata);Mesure de dépendance statistique non paramétrique entre deux variables. (Data Franca);;;
special dictionary;dictionnaire spécial;subject dictionary;;;;;;
special token;token spécial;;;A token that holds a specific function within a model, ensuring that it processes the input data correctly.;Token qui occupe une fonction spécifique dans un modèle afin de permettre de traiter correctement les données d'entrée.;;;
speech act theory;théorie des actes de langage;;théorie des actes de parole;;;;;
speech compression;compression de la parole;;;;;;;
speech corpus;corpus de parole;spoken corpus;corpus oral;A collection of recorded spoken language samples that are used for linguistic research, speech recognition system training, and other related purposes.;Collection de données audio enregistrées qui sont utilisées comme ressource pour l'entraînement, le développement et l'évaluation de systèmes de traitement automatique de la parole.;;;
speech enhancement;amélioration de la parole;noise reduction;;A set of methods and techniques aiming at improving speech quality in terms of intelligibility and/or perceptive quality using speech audio signal processing techniques. (Wikipedia);Problème fondamental dans le traitement du signal qui vise à améliorer la qualité et l'intelligibilité d'un signal de parole enregistré dans un environnement bruyant. (Soumission ANR REAVISE, Amélioration de la parole audiovisuelle basée sur l'apprentissage profond, robuste et efficace);;;
speech intelligibility;intelligibilité de la parole;;;;;;;
speech processing;traitement automatique de la parole;speech technology;traitement de la parole;The study of speech signals and the computer processing methods of these signals in a digital representation. (Applied Biomedical Engineering Using Artificial Intelligence and Cognitive Models, 2022);Ensemble de disciplines dont l'objectif est la captation, la transmission, l'identification et la synthèse de la parole. (CNIL);;;
speech quality;qualité vocale;;;;;;;
speech recoding;recodage de la parole;;;;;;;
speech recognition;reconnaissance de la parole;"ASR;automatic speech recognition;computer speech recognition;speech to text;speech-to-text;STT";"reconnaissance automatique de la parole;reconnaissance de parole;reconnaissance vocale;STT";Conversion, by a functional unit, of a speech signal to a representation of the content of the speech. (ISO/IEC 22989:2022 Information technology — Artificial intelligence — Artificial intelligence concepts and terminology);Technique qui permet à une machine de reconnaître les sons, les mots ou les phrases d'un locuteur, dans le but de les transformer en données numériques exploitables. (Office québécois de la langue française);;;
speech signal;signal de parole;;signal vocal;;;;;
speech synthesis;synthèse vocale;"speech generation;voice synthesis;voice generation";synthèse de la parole;Computer-generated simulation of human speech. (Pekar, A novel method for speaker adaptation in parametric speech synthesis, 2021);Technique informatique qui permet de générer automatiquement une voix de synthèse. (Office québécois de la langue française);;;
speech synthesizer;synthétiseur de parole;"speech synthesiser;speech synthesis system;voice synthesizer;voice synthesiser;voice synthesis system";"synthétiseur de la parole;synthétiseur vocal;système de synthèse de la parole;système de synthèse vocale";A technology that converts data into spoken words by taking the input data and analyzing its linguistic structure in order to generate corresponding audio output that mimics human speech.;Système électronique qui génère une voix à partir de données. (Data Franca);;;
speech transcription;transcription de la parole;;transcription vocale;;;;;
speech turn;tour de parole;;;;;;;
spelling checker;correcteur orthographique;spell checker;correcteur;;;;;
spiking neural network;réseau de neurones impulsionnels;SNN;SNN;;;;;
spirant consonant;consonne spirante;spirant;spirante;;;;;
spirantization;spirantisation;;;;;;;
spoken language understanding;compréhension de la parole;;compréhension du langage;;;;;
spontaneous speech;parole spontanée;;;;;;;
stacked Long Short-Term Memory;longue mémoire à court terme empilée;stacked LSTM;LSTM empilée;;;;;
stance detection;détection de position;stance classification##stance prediction;détection de stance##prédiction de position##détection d'affirmation;Automatic detection of whether the author of a piece of text is in favor of the given target or against it. (Adapted from Krejzl et al., Stance detection in online discussions, 2017);Identification automatique de la cible d’une opinion ou bien des cibles de plusieurs opinions et leur étiquetage en différentes classes comme « pour » ou « contre ». (https://obtic.sorbonne-universite.fr/actualite/offre-de-stage-en-traitement-automatique-des-langues-a-sorbonne-universite-stance-detection/);;;
standard theory;théorie standard;Polotskyan theory;;;;;;
Stanford CoreNLP;Stanford CoreNLP;CoreNLP;;;;;;
Stanford Named Entity Recognizer;Stanford Named Entity Recognizer;Stanford NER;Stanford NER;;;;;
Stanford Parser;Stanford Parser;;;;;;;
Stanford POS Tagger;Stanford POS Tagger;;;POS tagging tool. (Loterre);Outil d'étiquetage morphosyntaxique. (Loterre);;;
Stanford Topic Modeling Toolbox;Stanford Topic Modeling Toolbox;TMT;TMT;;;;;
Stanza;Stanza;;;A collection of accurate and efficient tools for many human languages in one place. Starting from raw text to syntactic analysis and entity recognition, Stanza brings state-of-the-art NLP models to languages of your choosing. (Loterre);Collection d'outils précis et efficaces pour de nombreuses langues humaines. Depuis le texte brut jusqu'à l'analyse syntaxique et la reconnaissance d'entités. (Loterre);;;
Starspace;Starspace;;;A general-purpose neural model for efficient learning of entity embeddings for solving a wide variety of problems (https://github.com/facebookresearch/StarSpace).;« Modèle neuronal polyvalent permettant l'apprentissage efficace de plongements d'entités pour résoudre une grande variété de problèmes. » (source : https://github.com/facebookresearch/StarSpace);;;
state change;changement d'état;;;;;;;
state space;espace d'états;;;The different configurations or representations of the input, output, and intermediate states of a model during processing. In sequence-to-sequence models used for machine translation, the state space includes the various hidden states of the encoder and decoder recurrent neural networks at different time steps.;Représentation de l'ensemble des états possiblement mis en œuvre par l'application des opérateurs, lors de la résolution d'un problème. (Data Franca);;;
state-of-the-art model;modèle état de l'art;;;The most advanced and effective model currently available for performing specific NLP tasks.;;;;
state-of-the-art performance;performance à l'état de l'art;;;;;;;
statistical machine translation;traduction automatique statistique;SMT;TAS;Machine translation which is generated from a parallel training corpus by calculating the most likely equivalent of a source word/phrase/sentence in the target language. (https://zenodo.org/record/5646896);Traduction automatique qui n’utilise que des statistiques, contrairement à la traduction à base de règles. (https://www.btb.termiumplus.gc.ca/tpv2guides/guides/chroniq/index-fra.html?lang=fra&lettr=indx_autr8o7vhUcC4c0s&page=9i-_Sdw_Ak98.html);;;
statistical model;modèle statistique;;;;;;;
statistical scattering;dispersion statistique;;;;;;;
statistics;statistiques;;;;;;;
stative verb;verbe statif;static verb;;;;;;
stative;statif;;;;;;;
stem;radical;;;;;;;
stemmer;lemmatiseur;stemming algorithm;;An algorithm used in information retrieval, text mining, machine translation, summarization and classification to reduce the query words to a basic standardized form. (Adapted from Jabbar et al., A comparative review of Urdu stemmers: Approaches and challenges, in Computer Science Review, 2019);;;;
stemming;racinisation;;désuffixation;The task/process of cutting off the ends of words (mainly inflectional affixes but sometimes also derivational affixes) aiming to relate words to a base form. (Loterre);Tâche/processus consistant à couper les extrémités des mots (principalement les affixes flexionnels mais parfois aussi les affixes dérivationnels) et visant à relier les mots à une forme de base. (Loterre);;;
stepwise regression;régression pas à pas;;;;;;;
stm;stm;;;;;;;
stochastic gradient descent;descente du gradient stochastique;"stochastic gradient algorithm;SGD";algorithme du gradient stochastique;A gradient descent algorithm in which the batch size is one. In other words, SGD trains on a single example chosen uniformly at random from a training set. (https://developers.google.com/machine-learning/glossary/).;Algorithme de descente de gradient dans lequel la taille du lot est de un. En d'autres termes, le [Stochastic Gradient Descent) s'entraîne sur un seul exemple choisi uniformément au hasard dans un ensemble d'entraînement. (source : https://developers.google.com/machine-learning/glossary/);;;
stop;occlusive;;;;;;;
stranded preposition;préposition abandonnée;;;;;;;
stress placement;place de l'accent;;;;;;;
stress;accent;;;;;;;
stressed syllable;syllabe accentuée;;;;;;;
stressing;accentuation;;;;;;;
stress-timing;isochronie accentuelle;;isochronie d'accent;;;;;
strong form;forme forte;stress form;"forme pleine;forme accentuée9";;;;;
strong verb;verbe fort;;;;;;;
structural annotation;annotation structurelle;segmentation;segmentation;The task/process of segmenting a text and recognizing textual structural units (paragraphs, sentences, words etc.) (Loterre);Tâche/processus de segmentation d'un texte et de reconnaissance des unités structurelles textuelles (paragraphes, phrases, mots, etc.). (Loterre);;;
structural topic modeling;modélisation de topiques structurale;structural topic model;modèle de topiques structural;;;;;
structure preservation;préservation de structure;;;;;;;
structured prediction;apprentissage structuré;;fonctions de prédiction;A subfield of machine learning aiming at making multiple interrelated predictions simultaneously, with the desired outputs (labels) are typically organized in some structured object such as a sequence, a graph, an image, etc. (Adapted from Osokin et al., On Structured Prediction Theory with Calibrated Convex Surrogate Losses, 2017);Terme générique pour les techniques d'apprentissage automatique supervisé qui impliquent la prédiction d'objets structurés, plutôt que des valeurs scalaires discrètes ou réelles. (Data Franca);;;
student model;modèle élève;;modèle étudiant;A small neural network trained to mimic the behavior and performance of a teacher model, a network with a higher learning capacity. (Based on Han et al., On the Impact of Knowledge Distillation for Model Interpretability);;;;TeacherModel
style transfer;transfert de style;;;An NLP process which consists of substituting one given writing style for another one while preserving the content of the text. (Based on de Rivero et al., Formalstyler: GPT‑Based Model for Formal Style Transfer with Meaning Preservation, in SN Computer Science, 2023);;;;
stylistic variation;variation stylistique;;;;;;;
stylistics;stylistique;;;;;;;
subgraph;sous-graphe;;;;;;;
subject complement;attribut du sujet;;;;;;;
subject predicate;sujet prédicat;;;;;;;
subject raising;montée du sujet;;;;;;;
subjectivization;subjectivation;;;;;;;
subjunctive mood;mode subjonctif;subjunctive;subjonctif;;;;;
submodular function;fonction sous-modulaire;;;;;;;
subordinate clause;proposition subordonnée;;subordonnée;;;;;
subordinating conjunction;conjonction de subordination;subordinator;;;;;;
subordinating;subordonnant;;;;;;;
subordination;subordination;;;;;;;
subspace;sous-espace;;;;;;;
substantive complement;complément du substantif;noun complement;complément du nom;;;;;
substitution;substitution;;;;;;;
subsymbolic AI;IA sous-symbolique;subsymbolic artificial intelligence;intelligence artificielle sous-symbolique;Artificial intelligence based on techniques and models that use an implicit encoding of information, that can be derived from experience or raw data. (Adapted from ISO/IEC 22989:2022 Information technology — Artificial intelligence — Artificial intelligence concepts and terminology);Intelligence artificielle basée sur des techniques et des modèles qui utilisent un encodage implicite des informations, qui peuvent être dérivées de l'expérience ou de données brutes. (Adapté de ISO/IEC 22989:2022 Technologies de l'information — Intelligence artificielle — Concepts et terminologie relatifs à l'intelligence artificielle);Whereas symbolic AI produces declarative outputs, subsymbolic AI is based on statistical approaches and produces outputs with a given probability of error. (ISO/IEC 22989:2022 Information technology — Artificial intelligence — Artificial intelligence concepts and terminology);Tandis que l'IA symbolique produit des résultats déclaratifs, l'IA sous-symbolique se fonde sur des approches statistiques et produit des résultats avec une probabilité d'erreur donnée. (ISO/IEC 22989:2022 Technologies de l'information — Intelligence artificielle — Concepts et terminologie relatifs à l'intelligence artificielle);
subword units;sous-mots;;;;;;;
suffix;suffixe;;;;;;;
suffixation;suffixation;;;;;;;
superlative;superlatif;;;;;;;
supervised classification;classification supervisée;;;Problem of identifying to which of a set of categories a new observation belongs, on the basis of a training set of data containing observations (or instances) whose category membership is known. (Wikidata);Attribution d'une classe ou catégorie à chaque objet à classer, en se basant sur des données statistiques. (Data Franca);;;
supervised latent Dirichlet allocation;allocation de Dirichlet latente supervisée;"sLDA;supervised LDA2";sLDA;;;;;
supervised learning;apprentissage supervisé;supervised machine learning;apprentissage automatique supervisé;A machine learning approach that is defined by its use of labeled datasets designed to train or “supervise” algorithms into classifying data or predicting outcomes accurately. Using labeled inputs and outputs, the model can measure its own accuracy and learn over time. (Adapted from ScienceDirect);Procédé d’apprentissage automatique dans lequel l’algorithme s’entraîne à une tâche déterminée en utilisant un jeu de données assorties chacune d’une annotation indiquant le résultat attendu. (CNIL);;;
support vector machine;séparateur à vaste marge;SVM;"machine à vecteurs de support;SVM";A supervised machine learning model for data classification and regression analysis which optimizes the width of the gap between the points of separate categories in feature space. (Adapted from NIST, The Language of Trustworthy AI: An In-Depth Glossary of Terms, 2023);Algorithme d'apprentissage supervisé issu d'une généralisation des classificateurs linéaires et destiné à résoudre des problèmes de classification et de régression. (Data Franca);;;
support verb;verbe support;;;;;;;
surface realisation;réalisation de surface;SR;;;;;;
surface structure;structure de surface;S-structure;structure S;;;;;
surname;nom de famille;"family surname;last name2family name3";patronyme9;;;;;
syllabic consonant;consonne syllabique;;;;;;;
syllabification;syllabation;"syllabication;syllable division2";;;;;;
syllable boundary;frontière de syllabe;;;;;;;
syllable;syllabe;;;;;;;
syllable-timing;isochronie syllabique;syllable timing;;;;;;
symbol;symbole;;;;;;;
symbolic AI;IA symbolique;symbolic artificial intelligence;intelligence artificielle symbolique;Artificial intelligence based on techniques and models that manipulate symbols and structures according to explicitly defined rules to obtain inferences. (ISO/IEC 22989:2022 Information technology — Artificial intelligence — Artificial intelligence concepts and terminology);Approche d'intelligence artificielle fondée sur des représentations « symboliques » (c’est-à-dire lisibles par l’homme) et qui repose sur l’hypothèse que de nombreux aspects de l’intelligence peuvent être simulés par la manipulation de symboles. (Data Franca);;;
syncope;syncope;;;;;;;
synonymy;synonymie;;;;;;;
syntactic category;catégorie syntaxique;"part of speech;part-of-speech;word class;POS;PoS";"nature;partie du discours";;;;;
syntactic derivation;dérivation syntaxique;;;;;;;
syntactic feature;trait syntaxique;;;;;;;
syntactic island;ile syntaxique;;;;;;;
syntactic parsing;analyse syntaxique;"syntactical analysis;syntax analysis";parsing;The task/process of recognizing and marking the syntactic structure of a text or text segment. (Loterre);Tâche/processus de reconnaissance et de marquage de la structure syntaxique d'un texte ou d'un segment de texte. (Loterre);;;
syntactic transfer;transfert syntaxique;reordering;réordonnancement;;;;;
syntactic tree;arbre syntaxique;;;A rooted and ordered tree that is labeled with POS tags that represent the syntactic structure of a sentence. (Kim et al., Authorship Classification: A Discriminative Syntactic Tree Mining Approach);Représentation graphique de la structure en constituants d’une phrase. (Dubois et al., Dictionnaire de linguistique, 1994);;;
syntactic variation;variation syntaxique;;;;;;;
syntactical alternation;alternance syntaxique;;;;;;;
syntax;syntaxe;;;Study of grammar, or the rules for combining words and morphemes into phrases and sentences. (Termium);Partie de la grammaire qui décrit les règles de combinaison des unités significatives (les mots, les syntagmes) en phrases. (Termium);;;
syntax-based machine translation;traduction automatique basée sur la syntaxe;;;Machine translation approach based on the idea of translating syntactic units, rather than single words or strings of words (as in phrase-based MT), i.e. (partial) parse trees of sentences/utterances. (https://omniscien.com/faq/what-is-syntax-based-machine-translation/);Approche de la traduction automatique qui se concentre sur l'analyse et la génération de structures syntaxiques dans les phrases sources et cibles pour améliorer la qualité de la traduction.;;;
synthetic form;forme synthétique;;;;;;;
synthetic voice;voix de synthèse;"computer-generated speech;synthesized speech;synthetic speech;artificial speech;computer-synthesized speech;machine-generated speech;computer-generated voice;synthesized voice;artificial voice;computer-synthesized voice;machine-generated voice";"voix artificielle;voix synthétique;parole de synthèse;parole synthétique;parole artificielle;parole électronique";A computer-generated or artificially created voice mimicking human speech that is generated by a speech synthesis system.;Parole ou voix générée par un ordinateur, et qui simule la voix humaine. (Office québécois de la langue française);;;
Syuzhet;Syuzhet;;;An R package for sentiment analysis. (Loterre);Paquet R pour l'analyse de sentiments. (Loterre);;;
T5 model;modèle T5;"T5;Text-to-Text Transfer Transformer";T5;A state-of-the-art, text-to-text model based on transformers that works on various NLP tasks such as translation, summarization, and text classification by formulating each task as a text-to-text transformation.;;;;
TACIT;TACIT;;;;;;;
TagAnt;TagAnt;;;A non-commercial Part-Of-Speech tagger built on TreeTagger. (Loterre);Outil libre d'étiquetage des partie du discours construit sur TreeTagger. (Loterre);;;
tagged corpus;corpus étiqueté;;;;;;;
tagger;étiqueteur;;système d'annotation;;;;;
Tagtog;Tagtog;;;;;;;
tail entity;entité queue;;;A basic component of a knowledge graph triple, which consists of a head entity, a relation, and a tail entity, and represents the target or object entity in the relationship.;L'une des entités dans un triplet de graphe de connaissances, où un triplet est généralement composée d'une entité de départ (tête), d'une relation, et d'une entité de destination (queue), et qui correspond à l'entité cible ou objet dans la relation.;;;
Talismane;Talismane;;talismans;Talismane is a NLP framework acting as a sentence detector, tokeniser, pos-tagger and dependency parser. (Loterre);Talismane est un environnement pour le traitement du langage naturel : détecteur de phrases, tokeniseur, pos-tagger et analyseur syntaxique de dépendance. (Loterre);;;
target language model;modèle de langue cible;;;;;;;
target language;langue cible;TL;;;;;;
target word embedding vector;vecteur de plongement des mots cibles;;;;;;;
task-oriented dialogue;dialogue orienté tâche;TOD;;Interactions between a user and a computer system focused on a specific task.;;"Task-oriented dialogue is often decomposed into three sub-tasks: (1) dialogue state tracking (DST) for tracking user’s belief state; (2) dialogue policy learning (POL) for deciding which system action to take; (3) natural language generation (NLG) for generating dialogue response. (Su et al., Multi-Task Pre-Training for Plug-and-Play Task-Oriented Dialogue System, 2022)";;
task-oriented tuning;ajustement en fonction des tâches;;;;;;;
tautology;tautologie;;;;;;;
teacher model;modèle enseignant;;;A large neural network model used to impart knowledge and supervision when training student models through techniques such as knowledge distillation.;;;;StudentModel
technical dictionary;dictionnaire technique;specialised dictionary;dictionnaire spécialisé;;;;;
telicity;télicité;"atelic verb; telic verb2";;;;;;
tense;temps grammatical;;;;;;;
tensor;tenseur;;;;;;;
term alignment;alignement terminologique;;;The task/process of establishing equivalence relationships between terms in multiple terminologies. (Loterre);Tâche/processus consistant à établir des relations d'équivalence entre les termes de plusieurs terminologies. (Loterre);;;
term extraction;extraction de termes;terminology extraction;extraction terminologique;The act/process of identifying and extracting candidate terms from a domain-specific corpus. (Loterre);Tâche/processus d'identification et d'extraction de termes candidats à partir d'un corpus spécifique à un domaine. (Loterre);;;
term mismatch probability;probabilité de la disparité des termes;;;Term mismatch occurs when documents and queries refer to the same meaning using different terms.[...] Term mismatch probability is estimated as the proportion of relevant documents which do not contain the term t, i.e relevant documents which are mismatched by a query term t. (Mohannad Almasri. Reducing Term Mismatch Probability by Exploiting Semantic Term Relations. Computation and Language [cs.CL]. Université Grenoble Alpes, 2017. English. ⟨NNT : 2017GREAM028⟩. ⟨tel-01682973⟩);;;;
termbase;base terminologique;"term base;TB";"base de données terminologiques;BT";;"Base de données constituant une ressource terminologique. (ISO, Travail terminologique et science de la terminologie, 2019);Database comprising a terminology resource. (ISO, Terminology work and terminology science, 2019)";;;
terminological dictionary;dictionnaire terminologique;;;;;;;
TermoStat;TermoStat;;;;;;;
Termsuite;Termsuite;;;A terminology extraction and multilingual term alignment tool. (Loterre);Outil d'extraction terminologique et d'alignement de termes multilingues. (Loterre);;;
test data;données de test;"test split;test set;test dataset;evaluation data";"données d'évaluation;données d'essai;jeu de données d'évaluation;jeu de données de test;jeu de données d'essai;ensemble de test;ensemble d'essai;ensemble d'évaluation;jeu de test;jeu d'évaluation;jeu d'essai";Data used to assess the performance of a final model. (ISO/IEC 22989:2022 Information technology — Artificial intelligence — Artificial intelligence concepts and terminology);Données utilisées pour évaluer les performances d'un modèle final. (ISO/IEC 22989:2022 Technologies de l'information — Intelligence artificielle — Concepts et terminologie relatifs à l'intelligence artificielle);;;
test-time adaptation;adaptation en phase-test;TTA;;A special setting of unsupervised domain adaptation where a trained model on the source domain has to adapt to the target domain without accessing source data. (Chen et al., Contrastive Test-Time Adaptation, 2022);;;;
text and data mining;fouille de textes et de données;TDM;TDM;The automated processing of unstructured text and/or structured data leading to the extraction of previously hidden knowledge. (Loterre);Traitement automatisé de textes non structurés et/ou de données structurées conduisant à l'extraction de connaissances précédemment cachées. (Loterre);;;
text classification;classification de texte;text categorization##text categorisation;catégorisation de textes;The task/process of assigning documents into classes or categories. (Loterre);Tâche/processus consistant à classer des documents dans des classes ou des catégories. (Loterre);;;
text clustering;partitionnement de textes;document clustering;"clustering de documents;clustering de textes;partitionnement de documents";A type of unsupervised learning that consists in grouping texts according to their level of similarity. (Loterre);Type d'apprentissage non supervisé consistant à regrouper des textes en fonction de leur niveau de similarité. (Loterre);;;
text mining;fouille de textes;;fouille de texte;The process of transforming unstructured text into a structured format to identify meaningful patterns and new insights. (ibm.com);Processus automatisé permettant à des machines d'extraire et de classer des informations à partir de textes non structurés. (Data Franca Wiki);;;
text2vec;text2vec;;;A fast and memory-friendly tool for text vectorization, topic modeling (LDA, LSA), word embeddings (GloVe), similarities. This package provides a source-agnostic streaming API, which allows researchers to perform analysis of collections of documents which are larger than available RAM. All core functions are parallelized to benefit from multicore machines. (Loterre);Outil rapide et peu gourmand en mémoire pour la vectorisation de textes, la modélisation de topiques (LDA, LSA), les plongements lexicaux (GloVe), les similarités. (Loterre);;;
Textable;Textable;;;;;;;
Textalytic;Textalytic;;;;;;;
TextAttack;TextAttack;;;;;;;
TextBlob;TextBlob;;;;;;;
textcat;textcat;;;;;;;
textfeatures;textfeatures;;;;;;;
TextFlows;TextFlows;;;Text mining workflows on the cloud. (Loterre);Workflows de fouille de texte sur le nuage. (Loterre);;;
Texthero;Texthero;;;;;;;
TextObserver;TextObserver;;;;;;;
textplot;textplot;;;;;;;
Textpresso Central;Textpresso Central;;;;;;;
textrecipes;textrecipes;;;;;;;
textstem;textstem;;;;;;;
text-to-speech;synthèse texte-parole;"TTS;text-to-speech synthesis;text-to-speech conversion;text-to-voice;TTS synthesis";"synthèse de la parole à partir du texte;synthèse vocale à partir du texte";;;;;
textual database;base de données textuelles;;;;;;;
textual entailment;inférence textuelle;;implication textuelle;A binary relation between two natural-language texts (called ‘text’ and ‘hypothesis’), where readers of the ‘text’ would agree the ‘hypothesis’ is most likely true. (Padó and Dagan, Textual Entailment, in The Oxford Handbook of Computational Linguistics, 2016);Relation directionnelle entre un fragment de texte-source et un fragment de texte-cible. (Grau et Gleize, Implication textuelle : problèmes et méthodes pour le TAL, dans Langages, 2018);;;
theme rheme;thème rhème;theme-rheme;;;;;;
theory of enunciative operations;théorie des opérations énonciatives;;;;;;;
thesaurus;thésaurus;;;An artificially constructed vocabulary representing a conceptual breakdown of a subject field or fields, used in an information retrieval system. (Termium);Liste organisée d'unités propres à un domaine, dont certaines sont des descripteurs, qui présente des relations sémantiques structurées et qui contient des règles terminologiques servant à traduire en un langage artificiel des notions exprimées dans un langage naturel. (Termium);;;
theta marking;marquage theta;"theta role assignment;theta-role assignment";assignation de rôle thêta;;;;;
theta-role;rôle theta;;;;;;;
third person;troisième personne;3rd person;3e personne;;;;;
tidytext;tidytext;;;A text mining package using tidy data principles to make many text mining tasks easier, more effective, and consistent with tools already in wide use. (https://cran.r-project.org/web/packages/tidytext/).;« Environnement de fouille de textes utilisant les principes de données structurées au format tidy pour réalise de nombreuses tâches de fouille de textes plus facilement, plus efficacement et et de manière plus cohérente qu'avec les outils déjà largement utilisés. » (source : https://cran.r-project.org/web/packages/tidytext/);;;
time series;série temporelle;"timed sequence;time sequence2";série chronologique;;;;;
TinyBERT;TinyBERT;;;;;;;
tm;tm;;;A framework for text mining applications within R. (Loterre);Framework pour les applications de fouille de textes avec R. (Loterre);;;
TnT;TnT;Trigrams'n'Tags;Trigrams'n'Tags;TnT realizes statistical Part-of-Speech Tagging. (Loterre);TnT permet un étiquetage statistique de parties du discours. (Loterre);;;
token;token;;;"In lexical analysis, atomic string with an assigned and thus identified meaning; can be either word, bi-gram or sentence. (Wikidata)";Élément de base de l'annotation textuelle qui ne peut être découpé en unités plus petites, et peut ainsi être constitué de plusieurs mots graphiques, comme c’est le cas par exemple des expressions idiomatiques, des mots composés ou de certains nombres. (Adapté de Bernhard et al., Problèmes de tokénisation pour deux langues régionales de France, l’alsacien et le picard, 2018, et https://www.linguist.univ-paris-diderot.fr/~amsili/Ens21/pdf/slides-l1hn001-03.pdf);;;
tokenization;tokenisation;"text segmentation;tokenisation";"segmentation de texte;découpage de texte";The task/process of recognizing and tagging tokens (words, punctuation marks, digits etc.) in a text. (Loterre);Tâche/processus de reconnaissance et d'étiquetage d'éléments (mots, signes de ponctuation, chiffres, etc.) dans un texte. (Loterre);;;
tokenizers;tokenizers;;;A R package which offers functions with a consistent interface to convert natural language text into tokens. (Loterre);Package R qui offre des fonctions, avec une interface cohérente, pour convertir du texte en langage naturel en tokens. (Loterre);;;
tone contour;contour tonal;;contour d'intonation;;;;;
tone pitch;hauteur tonale;;;;;;;
tone stress;accent tonal;;;;;;;
tone;ton;;;;;;;
Top2Vec;Top2Vec;;;Top2Vec learns jointly embedded topic, document and word vectors. (https://github.com/ddangelov/Top2Vec);« Top2Vec apprend conjointement des plongements de vecteurs de topiques, de documents et de mots » (source : https://github.com/ddangelov/Top2Vec);;;
topic detection;identification de topics;topic extraction;"extraction de thèmes;extraction de topics;identification de thèmes";The task/process of identifying the topic of a text or dataset (e.g. by clustering keywords or using topic models) (Loterre);Tâche/processus consistant à identifier des thèmes, des topiques dans un texte ou un jeu de données (par exemple, en partitionnant des mots-clés ou par la modélisation de topiques). (Loterre);;;
topic modelling algorithm;algorithme de modélisation de topiques;"topic modeling;topic modelling;topic model";"modélisation thématique;modélisation de topiques;modèle de topiques;modèle thématique";;;;;
topicalization;thématisation;"thematization;topicalisation;thematisation";topicalisation;;;;;
